file,total,subtotal,booking_fee,currency,date,location_start,location_end
synthetic_eu_berlin.pdf,14.80,12.80,2.00,€,"May 11, 2024","Alexanderplatz, 10178 Berlin, DE","Brandenburger Tor, Pariser Platz 1, 10117 Berlin, DE"
synthetic_eu_paris.pdf,18.90,16.40,2.50,€,"October 3, 2024","Gare du Nord, 18 Rue de Dunkerque, 75010 Paris, FR","10 Av. Anatole France, 75007 Paris, FR"
synthetic_eu_dublin.pdf,26.00,23.50,2.50,€,"February 9, 2025","Terminal 1, Dublin Airport, Co. Dublin, IE","O'Connell Street Upper, Dublin 1, IE"
synthetic_asia_mumbai.pdf,265.00,230.00,35.00,₹,"July 21, 2024","Chhatrapati Shivaji Maharaj Terminus, Mumbai, IN","Bandra Kurla Complex, Mumbai, IN"
synthetic_asia_beijing.pdf,96.00,85.00,11.00,CN¥,"November 10, 2024","Terminal 3, Beijing Capital International Airport, Beijing, CN","Wangfujing, Dongcheng, Beijing, CN"
synthetic_asia_tokyo.pdf,2500.00,2200.00,300.00,¥,"March 15, 2025","Shinjuku Station East Exit, Tokyo, JP","Tokyo Tower, 4 Chome-2-8 Shibakoen, Minato City, Tokyo, JP"
synthetic_us_nyc.pdf,50.10,45.60,4.50,$,"January 18, 2024","One World Trade Center, New York, NY 10007, US","JFK Terminal 4, Queens, NY 11430, US"
synthetic_ca_toronto.pdf,42.00,38.00,4.00,C$,"April 28, 2025","Yonge-Dundas Square, Toronto, ON, CA","Toronto Pearson Int'l Airport T1, Mississauga, ON, CA"
synthetic_au_sydney.pdf,40.00,35.50,4.50,A$,"December 2, 2024","Sydney Opera House, Sydney NSW, AU","Sydney Airport T1, Mascot NSW, AU"
synthetic_mx_cdmx.pdf,160.00,140.00,20.00,MX$,"August 14, 2025","Benito Juárez Int'l Airport T1, Ciudad de México, MX","Zócalo, Centro Histórico, Ciudad de México, MX"
synthetic_br_sp.pdf,62.00,55.00,7.00,R$,"June 5, 2024","GRU Terminal 3, Guarulhos, BR","Av. Paulista 1578, São Paulo, BR"
synthetic_za_cpt.pdf,270.00,240.00,30.00,R,"September 9, 2025","Cape Town International Airport (CPT), Cape Town, ZA","V&A Waterfront, Cape Town, ZA"
Uber1.pdf,7.90,6.15,1.75,$,"September 26, 2025","333 Fern St, West Palm Beach, FL 33401-5801, US","340 Royal Poinciana Way, Palm Beach, FL 33480, US"
Uber2.pdf,8.37,8.18,2.78,$,"August 12, 2025","2401 Marina Isle Way, Jupiter, FL 33477, US","110 Sandpiper Cir, Jupiter, FL 33477-8434, US"
Uber3.pdf,33.50,23.82,6.22,$,"March 24, 2025","2401 Marina Isle Way, Jupiter, FL 33477, US","302 Datura St, West Palm Beach, FL 33401-5402, US"
Uber4.pdf,41.99,35.06,4.93,$,"January 31, 2025","Main Terminal, Memphis International Airport (MEM), Memphis, TN 38116, US","4965 Shaws Ridge Trl, Arlington, TN 38002-4671, US"
Uber5.pdf,29.27,22.87,4.06,$,"October 1, 2024","6903 Great View Dr N, Memphis, TN 38134, US","Main Terminal, Memphis International Airport (MEM), Memphis, TN 38116, US"
